name,company,year,kms_driven,fuel_type,Price
Ford Beat,Ford,2005,14000,Petrol,50000
Renault Polo,Renault,2015,113691,Electric,134918
Tata Polo,Tata,2005,79449,Petrol,50000
Toyota XUV,Toyota,2016,118940,Diesel,277569
Ford Beat,Ford,2018,107532,CNG,344856
Mahindra Figo,Mahindra,2022,110386,Diesel,460496
Mahindra Polo,Mahindra,2021,104297,Electric,390274
Ford Figo,Ford,2014,85353,Petrol,242873
Toyota Figo,Toyota,2006,67458,CNG,50000
Maruti Innova,Maruti,2011,13267,Diesel,50000
Tata Figo,Tata,2022,21338,Electric,203359
Tata City,Tata,2008,70692,Petrol,91990
Ford Kwid,Ford,2008,54425,CNG,50000
Maruti Polo,Maruti,2013,57295,LPG,175093
Hyundai Beat,Hyundai,2021,93042,LPG,148363
Maruti Figo,Maruti,2008,47841,CNG,50000
Mahindra Swift,Mahindra,2011,148429,Electric,50000
Renault Polo,Renault,2016,81180,Petrol,207330
Mahindra Innova,Mahindra,2007,121888,LPG,50000
Chevrolet Nexon,Chevrolet,2020,141800,Diesel,516839
Hyundai Swift,Hyundai,2017,76234,LPG,102335
Hyundai Innova,Hyundai,2008,69163,Electric,50000
Chevrolet Innova,Chevrolet,2019,149407,Diesel,403312
Maruti Beat,Maruti,2009,112795,Electric,50000
Hyundai Polo,Hyundai,2008,128324,Petrol,50000
Renault Figo,Renault,2020,37192,CNG,437785
Volkswagen i20,Volkswagen,2017,99780,Petrol,380814
Ford Swift,Ford,2011,98461,Diesel,113358
Tata Figo,Tata,2009,48102,Petrol,50000
Hyundai City,Hyundai,2015,99930,Diesel,73657
Mahindra Innova,Mahindra,2014,11542,LPG,238580
Chevrolet Kwid,Chevrolet,2012,49081,LPG,110527
Maruti Polo,Maruti,2022,29065,Diesel,440229
Mahindra Polo,Mahindra,2009,98092,LPG,93829
Maruti Innova,Maruti,2020,142396,Electric,317123
Chevrolet i20,Chevrolet,2010,29870,Electric,100341
Renault Innova,Renault,2016,36790,CNG,233964
Renault Kwid,Renault,2011,25485,CNG,136919
Ford Figo,Ford,2017,13709,Petrol,231002
Honda City,Honda,2012,52918,Diesel,128434
Ford Innova,Ford,2021,33960,CNG,215729
Volkswagen City,Volkswagen,2010,124821,Diesel,73351
Ford Nexon,Ford,2017,44620,LPG,88971
Tata Beat,Tata,2020,103396,Petrol,638475
Chevrolet Figo,Chevrolet,2009,101362,CNG,50000
Hyundai Swift,Hyundai,2022,81726,Diesel,132841
Maruti Kwid,Maruti,2021,48413,LPG,239228
Hyundai Innova,Hyundai,2005,120133,Diesel,53013
Mahindra Innova,Mahindra,2015,88859,Diesel,212935
Volkswagen Polo,Volkswagen,2020,31447,Petrol,260603
Mahindra Figo,Mahindra,2012,19337,Petrol,92990
Honda Kwid,Honda,2008,71529,Petrol,50000
Honda Innova,Honda,2022,43307,CNG,380675
Toyota Nexon,Toyota,2009,137016,Petrol,72232
Hyundai XUV,Hyundai,2021,88752,LPG,269213
Volkswagen Kwid,Volkswagen,2017,107007,Diesel,76002
Tata i20,Tata,2017,132402,Diesel,371058
Mahindra Polo,Mahindra,2010,146785,Electric,66709
Chevrolet Kwid,Chevrolet,2009,60990,CNG,87985
Ford Kwid,Ford,2006,68141,Diesel,66565
Maruti Figo,Maruti,2009,11015,Petrol,97187
Hyundai Beat,Hyundai,2005,110497,LPG,50000
Tata XUV,Tata,2015,72292,Electric,94954
Honda Innova,Honda,2021,56540,Diesel,182897
Hyundai Polo,Hyundai,2006,85880,LPG,60890
Tata Nexon,Tata,2005,10404,Petrol,50000
Tata City,Tata,2010,22763,Electric,79742
Hyundai Figo,Hyundai,2009,90642,Diesel,95560
Mahindra Beat,Mahindra,2009,20916,Electric,92856
Honda XUV,Honda,2014,131288,LPG,214115
Volkswagen i20,Volkswagen,2005,55106,Electric,50000
Volkswagen Kwid,Volkswagen,2008,31949,Petrol,91178
Ford Figo,Ford,2021,118319,Petrol,151343
Renault Swift,Renault,2012,134454,Diesel,119672
Toyota XUV,Toyota,2006,71877,LPG,50000
Tata Swift,Tata,2022,47131,Petrol,515426
Volkswagen City,Volkswagen,2016,116884,CNG,74319
Mahindra XUV,Mahindra,2021,29198,Electric,385754
Renault XUV,Renault,2019,11252,Petrol,386917
Ford Beat,Ford,2018,63682,LPG,257622
Renault Figo,Renault,2006,16949,Diesel,50000
Mahindra Beat,Mahindra,2006,148013,Petrol,50000
Maruti Kwid,Maruti,2006,104456,Petrol,52503
Tata Kwid,Tata,2019,80390,Diesel,341531
Hyundai XUV,Hyundai,2021,113196,Electric,329313
Ford Nexon,Ford,2014,65479,Diesel,244510
Hyundai Figo,Hyundai,2014,29963,CNG,141976
Honda Figo,Honda,2009,83477,Diesel,92287
Volkswagen Innova,Volkswagen,2017,114573,Diesel,170470
Tata City,Tata,2015,55002,Electric,190802
Hyundai i20,Hyundai,2019,147162,LPG,325516
Maruti XUV,Maruti,2020,34071,Petrol,544732
Ford Beat,Ford,2008,118215,Diesel,50000
Mahindra Polo,Mahindra,2007,111570,Diesel,50000
Honda Nexon,Honda,2022,38732,Electric,692848
Maruti i20,Maruti,2009,121195,CNG,94219
Hyundai City,Hyundai,2010,140560,Electric,107540
Ford Polo,Ford,2013,61745,LPG,50000
Maruti XUV,Maruti,2017,33624,Electric,60516
Ford Beat,Ford,2019,146312,Diesel,535171
Mahindra City,Mahindra,2019,128831,LPG,143487
Mahindra City,Mahindra,2021,105257,Electric,410591
Renault Swift,Renault,2005,137600,Diesel,50000
Tata XUV,Tata,2019,141374,Petrol,420073
Volkswagen Swift,Volkswagen,2018,137449,CNG,324053
Honda Swift,Honda,2018,54247,Diesel,478303
Renault Figo,Renault,2017,115113,CNG,126038
Hyundai Swift,Hyundai,2011,146194,CNG,101767
Ford Innova,Ford,2018,48638,Diesel,337241
Ford Polo,Ford,2017,128033,Petrol,224959
Mahindra Polo,Mahindra,2010,115186,Electric,88046
Volkswagen City,Volkswagen,2019,56271,LPG,399261
Mahindra XUV,Mahindra,2009,11062,Diesel,110992
Honda Polo,Honda,2021,105462,Diesel,505382
Volkswagen Polo,Volkswagen,2016,14632,Petrol,198802
Volkswagen Kwid,Volkswagen,2008,17561,Diesel,50000
Mahindra City,Mahindra,2013,135036,Electric,82031
Renault Kwid,Renault,2019,147443,Petrol,83787
Maruti Figo,Maruti,2006,22910,Petrol,50000
Honda Figo,Honda,2021,33275,Petrol,415478
Renault i20,Renault,2014,110776,Petrol,64336
Toyota Innova,Toyota,2010,58447,Electric,96626
Toyota i20,Toyota,2017,122581,CNG,168057
Volkswagen City,Volkswagen,2005,126148,LPG,50000
Tata Kwid,Tata,2010,11605,CNG,50000
Honda Innova,Honda,2008,86125,CNG,50000
Maruti Nexon,Maruti,2013,14324,LPG,141464
Hyundai i20,Hyundai,2010,132177,Electric,103249
Renault XUV,Renault,2015,132883,Petrol,188163
Toyota Figo,Toyota,2021,122221,CNG,640906
Volkswagen City,Volkswagen,2006,10846,Diesel,50000
Tata Innova,Tata,2017,107579,Electric,90901
Ford Kwid,Ford,2008,101922,Electric,89720
Volkswagen i20,Volkswagen,2005,137534,CNG,50000
Volkswagen City,Volkswagen,2018,52533,LPG,316288
Renault Beat,Renault,2015,42254,Petrol,193750
Volkswagen Figo,Volkswagen,2017,57362,Petrol,130841
Toyota i20,Toyota,2010,75545,Diesel,115492
Maruti i20,Maruti,2014,143291,CNG,82566
Volkswagen Nexon,Volkswagen,2017,15287,CNG,342392
Maruti Figo,Maruti,2009,118872,Petrol,50000
Mahindra Swift,Mahindra,2010,52078,Electric,70045
Toyota Kwid,Toyota,2016,52929,CNG,318149
Chevrolet Polo,Chevrolet,2015,94555,Diesel,114540
Chevrolet Polo,Chevrolet,2005,146487,Electric,50000
Honda Nexon,Honda,2012,68596,Electric,138117
Honda Innova,Honda,2007,96740,Electric,50000
Hyundai City,Hyundai,2018,135501,Petrol,446373
Renault Swift,Renault,2017,53303,Electric,391541
Ford Kwid,Ford,2011,49711,Petrol,142517
Toyota Nexon,Toyota,2010,112974,LPG,121011
Toyota Innova,Toyota,2005,77728,Petrol,50000
Hyundai Kwid,Hyundai,2019,137796,Petrol,433838
Tata City,Tata,2012,145090,Diesel,125976
Honda Nexon,Honda,2010,64917,Electric,127970
Honda Figo,Honda,2011,93122,LPG,69024
Mahindra Polo,Mahindra,2019,130430,Electric,491990
Maruti Nexon,Maruti,2011,141994,LPG,50000
Maruti XUV,Maruti,2010,107720,Diesel,90914
Ford XUV,Ford,2009,42154,CNG,108172
Toyota Polo,Toyota,2005,113677,Diesel,50000
Volkswagen Polo,Volkswagen,2006,42265,Diesel,67607
Toyota i20,Toyota,2014,56197,Petrol,234281
Tata XUV,Tata,2019,81907,Electric,151159
Hyundai Nexon,Hyundai,2019,30103,Diesel,99557
Hyundai Beat,Hyundai,2019,94291,LPG,211521
Maruti Kwid,Maruti,2017,30609,Diesel,94398
Volkswagen Figo,Volkswagen,2008,134714,LPG,50000
Renault Beat,Renault,2015,136205,CNG,247237
Honda XUV,Honda,2012,86325,CNG,179207
Ford i20,Ford,2012,65318,LPG,71168
Ford Nexon,Ford,2018,100474,LPG,105913
Renault Swift,Renault,2017,83319,CNG,87967
Maruti Figo,Maruti,2022,27368,Electric,534438
Mahindra Swift,Mahindra,2019,101751,LPG,161233
Maruti XUV,Maruti,2015,47219,LPG,287068
Ford Beat,Ford,2008,70279,Electric,50000
Toyota i20,Toyota,2012,10126,LPG,125490
Mahindra Figo,Mahindra,2021,119945,LPG,268845
Chevrolet City,Chevrolet,2018,144869,CNG,120035
Mahindra City,Mahindra,2005,86589,Electric,50000
Chevrolet Beat,Chevrolet,2018,134085,Diesel,184550
Tata Polo,Tata,2005,110158,Electric,53824
Ford Figo,Ford,2012,78244,CNG,61896
Maruti Polo,Maruti,2013,67545,Electric,100517
Chevrolet Polo,Chevrolet,2013,50738,CNG,162026
Tata City,Tata,2015,149649,LPG,269154
Renault Innova,Renault,2006,46368,LPG,50000
Volkswagen Kwid,Volkswagen,2015,51914,LPG,284979
Ford Figo,Ford,2011,29956,Electric,150519
Toyota Kwid,Toyota,2005,131008,Diesel,50000
Hyundai Figo,Hyundai,2015,14757,CNG,274667
Tata Beat,Tata,2021,80480,CNG,401376
Chevrolet Polo,Chevrolet,2013,62853,Electric,199159
Mahindra Polo,Mahindra,2012,11759,Petrol,118545
Maruti Innova,Maruti,2021,100397,Petrol,415106
Tata Polo,Tata,2012,74077,Petrol,123150
Hyundai City,Hyundai,2019,147717,Diesel,286019
Hyundai City,Hyundai,2022,21485,Diesel,307283
Hyundai Swift,Hyundai,2008,62487,LPG,83140
Toyota Kwid,Toyota,2014,141026,CNG,183910
Chevrolet City,Chevrolet,2005,115947,Diesel,50000
Ford Beat,Ford,2011,119575,LPG,125522
Mahindra i20,Mahindra,2007,40678,Diesel,50000
Ford i20,Ford,2012,82258,Electric,154972
Renault City,Renault,2005,95595,Electric,50000
Tata City,Tata,2006,83506,CNG,50000
Renault XUV,Renault,2018,123453,Diesel,258031
Tata Innova,Tata,2020,129235,Petrol,228065
Ford Nexon,Ford,2009,137157,Electric,58862
Mahindra Figo,Mahindra,2020,57057,Diesel,201194
Volkswagen Innova,Volkswagen,2005,12198,LPG,50000
Mahindra Innova,Mahindra,2020,128865,LPG,265787
Hyundai City,Hyundai,2005,33236,Diesel,50000
Tata Innova,Tata,2015,113145,LPG,290117
Toyota i20,Toyota,2007,112870,Petrol,50000
Maruti Polo,Maruti,2016,126243,Electric,169876
Ford i20,Ford,2009,142351,Diesel,105709
Maruti Swift,Maruti,2013,140273,CNG,166446
Hyundai Figo,Hyundai,2016,130674,LPG,255033
Hyundai Innova,Hyundai,2016,29063,CNG,61700
Ford XUV,Ford,2018,45954,Electric,408735
Chevrolet Kwid,Chevrolet,2018,45367,Electric,222525
Volkswagen Figo,Volkswagen,2017,109608,CNG,141394
Chevrolet City,Chevrolet,2013,65029,Electric,50000
Maruti Beat,Maruti,2015,61693,Electric,61741
Mahindra City,Mahindra,2017,136678,LPG,144873
Honda Figo,Honda,2015,66133,Electric,238527
Toyota Kwid,Toyota,2014,41653,Petrol,234919
Volkswagen Nexon,Volkswagen,2021,131829,CNG,443778
Honda Innova,Honda,2016,11622,Electric,178934
Hyundai Polo,Hyundai,2014,26725,Petrol,153145
Maruti Kwid,Maruti,2010,39402,CNG,109046
Mahindra i20,Mahindra,2006,57924,Diesel,50000
Hyundai Kwid,Hyundai,2014,45737,CNG,93836
Mahindra Nexon,Mahindra,2018,138575,Petrol,431377
Renault Figo,Renault,2015,31172,Diesel,144557
Ford Polo,Ford,2015,99599,Petrol,288586
Mahindra Polo,Mahindra,2011,126021,LPG,92122
Tata Beat,Tata,2019,14853,Diesel,457001
Mahindra Figo,Mahindra,2009,69129,Electric,107279
Ford City,Ford,2007,131789,LPG,50000
Honda Swift,Honda,2017,48890,Petrol,357726
Honda Polo,Honda,2013,142596,Diesel,115883
Volkswagen Figo,Volkswagen,2013,64912,LPG,114260
Hyundai Swift,Hyundai,2014,120616,Diesel,211810
Chevrolet Nexon,Chevrolet,2007,38145,LPG,50000
Chevrolet Beat,Chevrolet,2016,30581,CNG,112074
Hyundai Figo,Hyundai,2009,135995,Electric,109591
Mahindra i20,Mahindra,2021,46408,Petrol,563531
Toyota Figo,Toyota,2021,67134,CNG,730210
Maruti City,Maruti,2020,100327,LPG,262360
Chevrolet Polo,Chevrolet,2012,21344,Electric,71721
Tata Polo,Tata,2009,77957,LPG,50000
Ford Figo,Ford,2010,87454,CNG,96016
Renault Kwid,Renault,2019,47641,CNG,305815
Toyota City,Toyota,2011,54813,Petrol,88263
Honda i20,Honda,2011,90559,Electric,50000
Toyota Nexon,Toyota,2022,51786,Electric,367929
Toyota Swift,Toyota,2011,29426,Petrol,131851
Honda XUV,Honda,2014,76150,Diesel,223175
Mahindra Beat,Mahindra,2007,45435,Petrol,50000
Volkswagen Swift,Volkswagen,2006,144055,Electric,50000
Renault City,Renault,2016,104071,CNG,240085
Renault Nexon,Renault,2017,123824,CNG,328946
Chevrolet Swift,Chevrolet,2017,89273,CNG,288299
Chevrolet Beat,Chevrolet,2006,133618,Diesel,50000
Chevrolet XUV,Chevrolet,2017,37788,Petrol,258724
Hyundai i20,Hyundai,2007,106122,CNG,57614
Renault i20,Renault,2021,71916,Electric,751927
Chevrolet Swift,Chevrolet,2020,95431,Electric,473865
Chevrolet Innova,Chevrolet,2019,112665,Petrol,538092
Tata Nexon,Tata,2011,42733,LPG,74218
Maruti XUV,Maruti,2017,43933,CNG,203721
Honda Innova,Honda,2022,122573,Electric,758189
Tata City,Tata,2020,145566,LPG,181245
Maruti Polo,Maruti,2008,53001,CNG,50000
Chevrolet Nexon,Chevrolet,2009,141878,CNG,81058
Maruti City,Maruti,2018,136295,LPG,222952
Mahindra Beat,Mahindra,2017,34262,LPG,106823
Chevrolet Swift,Chevrolet,2012,51844,Electric,63186
Tata Swift,Tata,2017,87129,CNG,135969
Tata XUV,Tata,2006,126953,LPG,50000
Chevrolet Figo,Chevrolet,2021,128533,CNG,608654
Mahindra i20,Mahindra,2019,76262,Petrol,388845
Mahindra XUV,Mahindra,2007,40448,Petrol,50000
Toyota Kwid,Toyota,2014,122855,CNG,50000
Chevrolet City,Chevrolet,2010,64028,LPG,86165
Mahindra Nexon,Mahindra,2019,70504,LPG,344416
Mahindra Figo,Mahindra,2008,44701,Petrol,83612
Chevrolet Beat,Chevrolet,2006,93560,Electric,50000
Renault Innova,Renault,2007,53642,Electric,50000
Ford Figo,Ford,2013,27602,Electric,80156
Toyota City,Toyota,2006,35931,Petrol,60878
Tata Polo,Tata,2013,56542,Petrol,74384
Hyundai Innova,Hyundai,2015,60106,Diesel,157963
Toyota i20,Toyota,2019,79669,CNG,521035
Hyundai i20,Hyundai,2020,122217,Electric,483731
Mahindra Swift,Mahindra,2020,144092,Electric,591156
Hyundai Kwid,Hyundai,2021,135991,Petrol,313270
Honda Innova,Honda,2007,142663,Diesel,50000
Tata Polo,Tata,2006,81719,Diesel,67503
Volkswagen Innova,Volkswagen,2017,109616,Petrol,301531
Maruti Beat,Maruti,2020,29623,Electric,409259
Renault Swift,Renault,2005,115228,Electric,50000
Volkswagen XUV,Volkswagen,2017,107624,Petrol,358025
Hyundai XUV,Hyundai,2010,63947,Electric,125436
Tata Kwid,Tata,2015,59708,CNG,259893
Toyota Kwid,Toyota,2014,115865,LPG,120501
Chevrolet Innova,Chevrolet,2015,52534,Diesel,136404
Maruti Nexon,Maruti,2022,136209,Petrol,392943
Ford Polo,Ford,2017,102124,LPG,98202
Toyota i20,Toyota,2006,85418,Diesel,53143
Honda i20,Honda,2013,41575,Electric,64834
Maruti Swift,Maruti,2020,86242,Petrol,632378
Hyundai XUV,Hyundai,2011,39257,Electric,69541
Hyundai Innova,Hyundai,2006,71246,CNG,50000
Renault Polo,Renault,2019,101357,Petrol,529375
Hyundai Nexon,Hyundai,2008,93807,Electric,50000
Hyundai XUV,Hyundai,2021,133797,LPG,273254
Maruti Swift,Maruti,2014,19077,LPG,162601
Chevrolet Swift,Chevrolet,2022,77889,Electric,836857
Volkswagen Nexon,Volkswagen,2016,87475,Electric,157572
Hyundai Swift,Hyundai,2007,110732,Electric,50000
Toyota Innova,Toyota,2015,17813,Petrol,251855
Ford i20,Ford,2019,103106,LPG,183480
Hyundai Beat,Hyundai,2006,36029,Electric,63145
Toyota i20,Toyota,2008,99186,Petrol,69951
Volkswagen XUV,Volkswagen,2013,51846,LPG,172825
Toyota i20,Toyota,2015,33411,LPG,126490
Honda Swift,Honda,2006,88797,Petrol,50000
Renault City,Renault,2015,32042,Petrol,191227
Maruti Kwid,Maruti,2016,107883,Electric,300451
Maruti Nexon,Maruti,2019,58901,LPG,543661
Renault Beat,Renault,2009,138386,LPG,62679
Mahindra Kwid,Mahindra,2010,143052,Petrol,77507
Ford Kwid,Ford,2021,92711,Petrol,664610
Renault Kwid,Renault,2019,28639,Electric,502871
Ford XUV,Ford,2012,31563,Electric,69546
Hyundai Kwid,Hyundai,2021,149783,Petrol,283055
Maruti Polo,Maruti,2018,95553,Petrol,451172
Honda Kwid,Honda,2011,92879,CNG,117907
Volkswagen Polo,Volkswagen,2007,132413,Petrol,51622
Chevrolet XUV,Chevrolet,2018,21536,Diesel,89252
Maruti i20,Maruti,2008,18712,Diesel,61484
Toyota i20,Toyota,2006,64615,Petrol,50000
Toyota Kwid,Toyota,2015,95708,Diesel,179276
Hyundai Beat,Hyundai,2012,93309,CNG,70230
Honda Kwid,Honda,2010,16154,CNG,76462
Mahindra Innova,Mahindra,2005,61195,Electric,50000
Honda Swift,Honda,2013,40087,Electric,128370
Volkswagen City,Volkswagen,2013,49499,Petrol,91320
Chevrolet Nexon,Chevrolet,2019,106347,CNG,201309
Toyota i20,Toyota,2012,32431,LPG,174158
Chevrolet City,Chevrolet,2005,59153,Diesel,50000
Volkswagen Kwid,Volkswagen,2005,122360,Diesel,50000
Ford Nexon,Ford,2005,122755,LPG,50000
Volkswagen Innova,Volkswagen,2018,85897,Petrol,467682
Maruti Kwid,Maruti,2019,78577,LPG,346570
Hyundai Beat,Hyundai,2016,72768,CNG,244337
Ford XUV,Ford,2007,142997,Petrol,50000
Hyundai Swift,Hyundai,2010,127832,Electric,96282
Tata Innova,Tata,2013,74881,Electric,115195
Ford i20,Ford,2012,112215,Petrol,137168
Maruti Nexon,Maruti,2019,34826,LPG,113073
Chevrolet Swift,Chevrolet,2011,108511,Diesel,120588
Hyundai Nexon,Hyundai,2010,91941,CNG,80276
Honda XUV,Honda,2007,105081,LPG,50000
Mahindra Swift,Mahindra,2015,82715,Electric,66385
Toyota Nexon,Toyota,2016,142632,Diesel,245380
Volkswagen Nexon,Volkswagen,2018,80316,CNG,408559
Renault Polo,Renault,2016,30049,Diesel,327915
Chevrolet Figo,Chevrolet,2013,89561,LPG,59602
Honda Nexon,Honda,2019,122340,Diesel,265822
Tata Swift,Tata,2009,35963,Petrol,60975
Renault Beat,Renault,2022,126400,Diesel,285438
Maruti City,Maruti,2013,82099,Electric,87236
Chevrolet Figo,Chevrolet,2006,53585,LPG,50000
Toyota Nexon,Toyota,2006,134677,Electric,51679
Honda City,Honda,2014,39426,LPG,79917
Toyota XUV,Toyota,2016,136503,CNG,105205
Tata Innova,Tata,2019,67056,Petrol,431163
Tata i20,Tata,2012,98397,Petrol,171260
Mahindra XUV,Mahindra,2017,145720,Electric,241193
Honda Innova,Honda,2019,108317,LPG,347966
Mahindra Kwid,Mahindra,2011,111459,Electric,97748
Mahindra Beat,Mahindra,2011,55893,LPG,138190
